Tabf21,Tabf22,Tabf23,Tabf24,Tabf25,Tabf26,Tabf27,Tabf28,Tabf29,Tabf210,Tabf211,Tabf212,Tabf213,Tabf214,Tabf215,Tabf216,Tabf217,Tabf218,Tabf219,Tabf220,Tabf221,Tabf222,Tabf223,Tabf224,Tabf225,Tabf226,Tabf227,Tabf228,Tabf229,Tabf230,Tabf231,Tabf232,Tabf233,Tabf234,Tabf235,Tabf236,Tabf237,Tabf238,Tabf239,Tabf240,Tabf241,Tabf242,Tabf243,Tabf244,Tabf245,Tabf246,Tabf247,Tabf248,Tabf249,Tabf250,Tabf251,Tabf252,Tabf253,Tabf254,Tabf255,Tabf256,Tabf257,Tabf258,Tabf259,Tabf260,Tabf261,Tabf262,Tabf263,Tabf264,Tabf265,Tabf266,Tabf267,Tabf268,Tabf269,Tabf270,Tabf271,Tabf272,Tabf273,Tabf274,Tabf275,Tabf276,Tabf277,Tabf278,Tabf279,Tabf280,Tabf281,Tabf282,Tabf283,Tabf284,Tabf285,Tabf286,Tabf287,Tabf288,Tabf289,Tabf290,Tabf291,Tabf292,Tabf293,Tabf294,Tabf295,Tabf296,Tabf297,Tabf298,Tabf299,Tabf2100,Tabf2101,Tabf2102,Tabf2103,Tabf2104,Tabf2105,Tabf2106
1,-85,1355,2.11833769798396e-26,-1.36603136982389e-22,3.68992784711851e-19,-5.38705216263584e-16,4.55108081307412e-13,-2.17503052124261e-10,4.95058613634525e-08,-7.06612118270021e-07,-0.0009829132428563,-0.446405195374308,-2.26189041765303,-468.649116911009,447.046543300943,-7.69589245885564e-24,1.12721782312664e-22,4.54332656350302e-18,-1.0896469980263e-16,-1.03359695366581e-12,2.82513366331427e-11,1.16069478173106e-07,-2.53293285427088e-06,-0.0081751621294358,0.0702965929332634,-15.6953912761868,-508.689058001169,493.722823954545,-1.60623075479884e-24,-2.19670202295159e-23,1.09395574184533e-18,1.2807819702786e-17,-2.81578590940807e-13,-2.56772070179574e-12,3.43753649005619e-08,3.76866271189872e-07,-0.00302437497032849,-0.0318977544571409,-18.3014578458102,-552.252527248755,518.117383979219,-2.30074051821249e-27,1.81368687117606e-23,7.30088396030898e-20,3.87954405712028e-18,-4.72743165774471e-14,-5.77011933857604e-12,1.07710787471336e-08,1.03741820886172e-06,-0.00195370490548955,-0.0379587184326379,-16.4245217575475,-551.206708343978,516.883884006423,1.54410698160023e-121,1.70852628287992e-118,-2.81513881336528e-115,-3.54930219507849e-112,2.19499069979994e-109,3.30931071365326e-106,-9.24054503520205e-104,-1.80910335831687e-100,2.1000870746372e-98,6.30031746326832e-95,-1.90100409908758e-93,-1.38792796746362e-89,2.11915821761208e-90,1.62302247271401e-84,-1.28346016514911e-82,2.84613432471161e-80,7.39908585157362e-77,-4.10117893099928e-74,-1.53123241201872e-71,4.12958213956408e-69,2.25310299658735e-67,8.43582226828997e-64,6.76137782893947e-61,-3.4876657660619e-58,-2.00882246216984e-55,6.21378409870474e-53,3.40078897315257e-50,-7.25412426362147e-48,-3.98856039001378e-45,6.0905639541702e-43,3.43318780515301e-40,-3.79562249825638e-38,-2.21122738928784e-35,1.77018119108664e-33,1.06693002417075e-30,-6.14742792831515e-29,-3.81204283526334e-26,1.5652495673306e-24,9.844450681928e-22,-2.84331369919297e-20,-1.7650996097478e-17,3.51864283332743e-16,2.05833003001976e-13,-2.71959676926761e-12,-1.39414367086485e-09,1.07551585662841e-08,4.43298622129431e-06,-1.37011004933711e-05,-0.0108680022855625,0.0820912355636412,-16.6959443189016
2,-108,1163,-2.55460272613111e-27,3.61474320370638e-23,-1.36677776002207e-19,2.3944617450599e-16,-2.24809609009953e-13,1.1612216471914e-10,-3.19834183560961e-08,5.05988220439476e-06,-0.000427021522622789,-0.502008125204064,-5.81395223800794,-386.905148704691,368.921683441871,-4.09415201271619e-23,-5.201656439736e-21,1.65215419159582e-17,1.73813824401846e-15,-2.5817310492727e-12,-2.02413374248582e-10,2.01244920710231e-07,9.43432895028695e-06,-0.00985093758056208,-0.128439868552054,-10.6714920730318,-524.016495575901,527.933610577525,-8.78862297874662e-27,-7.4268459558766e-23,1.86328160374994e-20,4.30374943988527e-17,-1.85666943290922e-14,-8.30926007774874e-12,6.60312652635426e-09,7.68644780879736e-07,-0.00179257148766543,-0.0443400977180122,-15.3499035987864,-527.049422207155,515.306571352282,4.31506847012075e-26,-8.41389739883907e-24,-2.04277977949073e-20,4.91383814458226e-18,-3.78367965162198e-15,-1.49047816121338e-12,3.53838257693522e-09,2.87231838693685e-07,-0.00122273504997027,-0.0167747159469551,-9.96278067857375,-523.360746144984,510.047856648999,-1.39019571653904e-116,-1.06236685611334e-113,1.30341948259235e-110,1.20695222265384e-107,-3.91727135422134e-105,-5.66032127344679e-102,-3.30282849376966e-100,1.25698708628831e-96,5.9652770600965e-94,-4.57718032591731e-92,-2.04816288189607e-88,-4.78912418168622e-86,3.81823823689613e-83,1.25061281487073e-80,-4.08274654775e-78,-8.90757193794577e-76,1.78240602176319e-73,-2.39213511053173e-70,1.07114872630922e-68,8.49760495998229e-65,-9.44856433984345e-64,-1.44096651938542e-59,-2.84533908748863e-58,1.6538215298796e-54,7.0477239351544e-53,-1.40127110811712e-49,-8.29343112908121e-48,9.06188871709977e-45,6.41781449533966e-43,-4.53016206160709e-40,-3.55240872741381e-38,1.75328601573928e-35,1.44684183373136e-33,-5.21828897516938e-31,-4.35477195735364e-29,1.17748879851744e-26,9.5792029201236e-25,-1.96931238574101e-22,-1.50173369174375e-20,2.36099354145377e-18,1.60976935052895e-16,-1.93150790259749e-14,-1.10787050111494e-12,9.98455811771016e-11,4.46368767295954e-09,-2.84498945600695e-07,-9.08625050494276e-06,0.000336583092476265,-0.00202659576118949,-0.188866312112836,-10.2566813750662
3,-92,1262,-4.33645955561118e-26,2.76931030714056e-22,-7.38380005049954e-19,1.0603609824664e-15,-8.80010229460859e-13,4.18463380331236e-10,-1.04707293845424e-07,1.0838629149696e-05,0.000254407568678172,-0.498884983434789,2.71788478923233,-444.905044627754,421.550027639112,-9.08720961685715e-24,-4.81407205721335e-22,5.11930475727192e-18,1.59346974628148e-16,-1.15800844623949e-12,-2.07484823584748e-11,1.33164624453474e-07,1.33723327601184e-06,-0.00943330674495209,-0.0102715295073461,-6.24110832526382,-492.299808676788,466.986839212053,-6.66920171597398e-27,3.88172080376158e-22,4.21335017279631e-20,-1.92075748790045e-16,-3.00509289690031e-14,3.18354333736897e-11,8.77333517247906e-09,-1.98927246422675e-06,-0.00213268339364969,0.0389674096335499,-15.9433532731227,-538.782829683832,532.704449154141,-3.45537461561003e-26,-1.51976405525649e-23,2.39839218579188e-20,1.24793837054205e-17,-1.32771530755682e-14,-2.93888808497247e-12,4.4525959356675e-09,2.4133472157787e-07,-0.00149655021620498,-0.00918600314426274,-15.4322711635273,-536.725861271145,530.526180231202,2.55021179741337e-120,2.9580094397445e-117,-2.61781048323165e-114,-4.56430256648465e-111,5.98623409184979e-109,3.20438992769083e-105,4.22051294008002e-103,-1.37390869244616e-99,-3.50459132172768e-97,4.13567517093464e-94,1.19005656132593e-91,-9.62602007282133e-89,-2.23541303912793e-86,1.79688462372313e-83,2.09523020345647e-81,-2.34429262777076e-78,2.71496639650012e-78,2.82998756660647e-74,-1.49080070044899e-71,8.76852604288153e-68,-2.27784763905496e-66,-2.77108619895969e-62,1.09569230856465e-60,5.19530184730577e-57,-1.69996129676739e-55,-6.91786332283421e-52,1.39320635249912e-50,6.89747060026395e-47,-4.44193256446522e-46,-5.25493925973505e-42,-3.42610545911418e-41,3.0778207430253e-37,5.53129809882681e-36,-1.38190081758145e-32,-3.8112094667464e-31,4.70716494041725e-28,1.65451351173258e-26,-1.19426474975661e-23,-4.83500235395195e-22,2.19301891531146e-19,9.50280715105123e-18,-2.78880115288282e-15,-1.20987713256104e-13,2.28797781614293e-11,9.2506121845569e-10,-1.07042399409726e-07,-3.65002231996962e-06,0.000226299287575348,-0.0022448400539874,-0.147100898700157,-10.5555735445917
4,-193,1227,1.76744984234715e-26,-8.90016154273261e-23,1.82030163083834e-19,-1.93023306934965e-16,1.10377634653392e-13,-2.86033152528555e-11,-2.46559660193376e-09,3.81130219930308e-06,-0.00050305436796987,-0.419772430665348,2.34289676972686,-535.373335177973,541.918216106395,-8.85516866534498e-25,5.73796086662559e-24,7.48056114116091e-19,1.60485255795909e-18,-2.37339106875061e-13,-1.71941313562458e-12,3.47992579137074e-08,3.39325146263695e-07,-0.00322563554207051,-0.0275492149380579,-25.2328142134355,-552.269136229683,533.356901878629,-1.15853091491357e-25,-5.36416984448725e-23,1.13433018553195e-19,2.75389597198315e-17,-4.36070866875835e-14,-4.05075424457094e-12,7.51100389491853e-09,4.4796402513384e-08,-0.00118685504802449,0.01822911345906,-16.4679060510763,-565.438514269649,540.701127814363,-3.51813526239906e-25,-4.49387504068337e-23,2.74305954033101e-19,2.28846776551607e-17,-8.02753390814678e-14,-3.23155409346571e-12,1.05430803592467e-08,-1.13925418763917e-08,-0.00116802987892571,0.0186918981530912,-24.5133256347771,-560.528783667936,531.616898216125,-8.46565398792411e-125,6.16672504276066e-122,2.34883229360015e-118,-1.70668040045208e-115,-2.81906684732843e-112,2.05231610188993e-109,1.82831079384567e-106,-1.34877104691868e-103,-5.89284752654705e-101,4.61251057090244e-98,-2.31889101923818e-96,-1.22951252215629e-93,1.13951736943502e-89,-6.68988516337127e-87,-5.331909329666e-84,3.34002210584588e-81,1.13142847124704e-78,-7.42204033997114e-76,2.22694399485462e-74,4.98300488349072e-72,-9.85601245479674e-68,5.37521784640617e-65,3.68298188509835e-62,-2.04407776431472e-59,-8.38365328354346e-57,4.58815104197595e-54,1.36575377364979e-51,-7.2753984182253e-49,-1.67444096366521e-46,8.59240413334828e-44,1.57386400628484e-41,-7.69349600838475e-39,-1.13876746549189e-36,5.23123186007483e-34,6.31098145172222e-32,-2.67708066553986e-29,-2.64533083445148e-27,1.01225176889005e-24,8.21522668048591e-23,-2.7471838052943e-20,-1.83294304011082e-18,5.12780628709742e-16,2.80958512758817e-14,-6.18739292659993e-12,-2.78064678872081e-10,4.40500221507369e-08,1.67944440319024e-06,-0.000159383531110364,-0.00862026259299943,0.173321713097522,-20.7734400917026
5,-17,1361,-2.23918716742868e-26,1.35093908672446e-22,-3.38587131752011e-19,4.57161162231226e-16,-3.63224818335832e-13,1.78438598897755e-10,-5.93092488515151e-08,1.55254213314861e-05,-0.00254548065521459,-0.267663877647812,-0.682046884669951,-493.715990841708,461.819248210998,-9.11331417579195e-24,-8.72738242555865e-22,5.84112119048653e-18,4.30286329486493e-16,-1.4283798405732e-12,-7.29514102427593e-11,1.67673410808384e-07,4.6514991092595e-06,-0.0110970373372307,-0.0565165166633093,-17.7171476852214,-566.281990877771,494.087464327675,-5.95205572074154e-25,-1.65540768825122e-23,5.37051295243913e-19,1.00327363260836e-17,-1.80470435523895e-13,-2.1884332963609e-12,2.75910830763027e-08,4.85323433148814e-07,-0.00297233626423525,-0.0516607662859679,-18.0867360527991,-565.095726925193,493.645098865588,9.49910702184631e-26,9.95784306308711e-23,-8.80412648939663e-23,-5.04442221819375e-17,-2.51069531493782e-14,7.24632671218765e-12,7.17570180017889e-09,-9.90153746596844e-09,-0.00162120000297966,-0.0384711364340396,-15.0265706795604,-563.197791502766,491.498203929564,9.87117702813657e-122,9.95428820006052e-119,-1.75675377086796e-115,-1.98936965585929e-112,1.32152649745683e-109,1.75249866777354e-106,-5.14746263237707e-104,-8.71207756280349e-101,8.62283268192917e-99,2.50331704318131e-95,1.20417253494041e-93,-3.03689310725101e-90,-1.04469198707037e-87,-5.85897376146309e-85,3.08898198789343e-82,3.36342084305154e-79,-7.62532242530157e-77,-6.37413888460074e-74,2.25621213469361e-71,2.63242140511982e-69,-6.79583626968502e-66,1.64566267589469e-63,1.64555703372555e-60,-4.98536549530097e-58,-3.00720039331917e-55,8.10507596459394e-53,4.1535194032987e-50,-9.01003801396269e-48,-4.37865021026177e-45,7.27398443460992e-43,3.5417331619157e-40,-4.32301830258743e-38,-2.1945136798116e-35,1.86997232535583e-33,1.03210508345717e-30,-5.67175551066834e-29,-3.61876067557734e-26,1.10531870152222e-24,9.18181380425929e-22,-1.04854901420588e-20,-1.60697322694788e-17,-4.3435744270856e-17,1.78838203002386e-13,2.09151775415961e-12,-1.08012242449112e-09,-1.55781169907361e-08,2.40331415883375e-06,8.07155969076597e-06,-0.00920304992197526,0.113229569612257,-16.057502495136
6,-79,1341,-7.23098649591312e-27,4.28870033832671e-23,-1.056801485679e-19,1.3938111959681e-16,-1.05037697295425e-13,4.41778058913816e-11,-9.41998795948829e-09,1.31777901775753e-06,-0.000184985799470205,-0.352224169189285,-0.70429197910342,-450.925458441882,429.093619671486,-1.31421922257823e-23,1.38735870308981e-22,7.30065194506456e-18,-1.28339013167234e-16,-1.53022668438194e-12,2.71987430839261e-11,1.53549107728234e-07,-1.87276237074361e-06,-0.00935564646961133,0.0426347766169232,-19.9985912503647,-530.037161159916,469.603324706601,4.54472749452792e-25,1.46721932421959e-22,-1.09797505918541e-19,-7.13299309376639e-17,-3.64179278558807e-14,1.277508730207e-11,1.40674791762807e-08,-7.51316554596605e-07,-0.00232106394125342,-0.00657646672398323,-20.1607863613861,-442.567579763949,417.476983193653,-2.75296819613605e-25,3.8035022697327e-22,4.37486798492168e-19,-1.54471027188914e-16,-1.43682151664954e-13,2.55448882638181e-11,1.97771324007668e-08,-1.79682300520361e-06,-0.0022215322483883,0.0340343082945824,-15.8017307651396,-440.570863587586,411.544115793774,8.34852022865052e-120,2.97911933299558e-117,-1.46358170492826e-113,-4.41366954927251e-111,1.15439651115894e-107,2.58032777087345e-105,-5.33736082329947e-102,-5.89022005764393e-100,1.55141053418624e-96,-1.00111068322408e-94,-2.62054996216653e-91,1.05204558258206e-88,6.2898500526501e-87,-2.91305105813118e-83,1.11495115759296e-80,2.14251307688802e-78,-4.13496306587143e-75,1.11096206951083e-72,9.58298810525828e-70,-4.74747858367491e-67,-1.71154217709568e-64,1.0370269736963e-61,2.48674060359138e-59,-1.55170040168149e-56,-2.96927759178362e-54,1.71860285063521e-51,2.89687820301154e-49,-1.45161407319056e-46,-2.28446829129671e-44,9.45285307068629e-42,1.43858077614057e-39,-4.74678221065604e-37,-7.1379041346993e-35,1.8237410280334e-32,2.74692889856457e-30,-5.2782922603104e-28,-8.03728065656815e-26,1.12259592821223e-23,1.74118012436902e-21,-1.68913164314465e-19,-2.69177207334884e-17,1.69219212946142e-15,2.81281534721193e-13,-1.01015812843508e-11,-1.82323011751176e-09,2.71622298165047e-08,6.4227163746775e-06,3.69375758832706e-06,-0.0179325437735135,-0.0271255079280678,-17.1418137591098
8,-16,1313,1.94535251407905e-26,-1.29266755688164e-22,3.64371966327772e-19,-5.63394919030607e-16,5.13496525029945e-13,-2.7264774019595e-10,7.49979462446854e-08,-6.0933966178108e-06,-0.000642094461751969,-0.362595124717698,-1.58929463389175,-442.497347850322,453.764746212847,-5.68244760461022e-24,1.34273704988475e-21,3.43484127978028e-18,-6.51100032581589e-16,-8.12001081145444e-13,1.14826028716756e-10,9.31424801909465e-08,-8.80241756707117e-06,-0.00692369010033425,0.241940026581152,-20.5951758608292,-595.310208486402,524.965991626792,1.16415372918851e-25,8.84995179708438e-23,-5.52487861586415e-20,-6.94861486976926e-17,-3.3698199632829e-15,2.02883685542833e-11,4.70878125362813e-09,-2.63157767651365e-06,-0.00164550559646456,0.124282647095856,-24.7597265783193,-525.400447623061,526.554160938006,2.95739915977354e-25,2.00579542605752e-22,-1.27268452395016e-19,-1.18538577049689e-16,5.6182851348316e-15,2.26506090930138e-11,3.55095841062181e-09,-1.24822842264776e-06,-0.00137576885662359,-0.0185648375970706,-17.2046918922772,-524.320564953283,520.5830543074,2.03392624694433e-120,1.44397529952876e-118,-4.37602261138809e-114,-1.38098028931777e-112,4.20871201140596e-108,-4.26402921961035e-107,-2.36060234642126e-102,1.4086490426751e-100,8.35535944578937e-97,-1.07997044789448e-94,-1.82840607989005e-91,4.6955073704282e-89,1.92445872076156e-86,-1.31126302448303e-83,1.32380291610402e-81,2.28834389547223e-78,-6.78388915598828e-76,-1.62585821770253e-73,2.48499190240853e-71,-3.63944603105577e-68,3.10791245255416e-65,1.50228106336945e-62,-9.92335717911824e-60,-2.93824411682569e-57,1.74218853240191e-54,3.95470330650184e-52,-2.10930820341835e-49,-3.9811261791711e-47,1.88079954730424e-44,3.08472004302078e-42,-1.26486497246634e-39,-1.85504564253685e-37,6.45080494177873e-35,8.63242665087333e-33,-2.48017205596182e-30,-3.07252026716607e-28,7.07923099209084e-26,8.19566494687993e-24,-1.46283847033494e-21,-1.58783509610223e-19,2.10854441653206e-17,2.1309728782965e-15,-2.01091404489567e-13,-1.83836346623592e-11,1.17945403710497e-09,8.97678889579704e-08,-3.79770371428272e-06,-0.000202694293888201,-0.000648849202288924,0.369787497096686,-22.9520858133417
9,-83,1358,9.11887347465661e-27,-4.97511166155728e-23,1.08410230854485e-19,-1.18800879214153e-16,6.61172755153754e-14,-1.37172916272302e-11,-4.231101389716e-09,4.16370853299334e-06,-0.00122114574266528,-0.244245171282579,11.5777311759281,-411.001784185288,430.149132001658,-9.7604721498862e-24,2.03710263144762e-21,4.93511613389404e-18,-7.45139121167714e-16,-1.03343552239949e-12,9.2121758781596e-11,1.15716561128489e-07,-4.38971302575867e-06,-0.00836311162184952,0.0586832183315703,-16.8576852745239,-544.80073819152,501.357236476977,4.64426709548933e-25,2.00090989279481e-22,-2.19394420775179e-19,-1.1419153149471e-16,1.13827468662797e-14,2.16981063070112e-11,7.38649472230465e-09,-1.3803769650135e-06,-0.00205777579523544,0.00766436870392937,-21.7072937145113,-575.231646032536,556.507257937832,-1.46896725284562e-25,-4.78883502354919e-23,1.41164008738832e-19,3.42015863367479e-17,-5.39360754037145e-14,-8.18435719450877e-12,9.64725680581453e-09,6.55817359051219e-07,-0.00150082455635642,-0.00360897706258818,-21.4991901388519,-574.294468132569,554.632902137897,7.05691329596647e-121,-1.80641228165713e-116,3.08162608498991e-114,3.27953988205508e-110,-6.22627652887039e-108,-2.70198785581659e-104,4.81382776887496e-102,1.32820681039502e-98,-2.03118857452813e-96,-4.28700724950166e-93,4.91167736147509e-91,9.31573349811145e-88,-5.31666008318022e-86,-1.29769346588103e-82,-5.22023475288511e-81,8.41632286304457e-78,2.65234412792971e-75,7.25982553750782e-73,-2.89074254181928e-70,-2.47355858950695e-67,-3.67882142755212e-65,2.75588871689835e-62,1.81184532257083e-59,-9.83414564345186e-58,-3.35178388424168e-54,-1.54569215099263e-52,3.99892423960528e-49,3.00061661064887e-47,-3.42098898468884e-44,-2.80587256542023e-42,2.17504942403994e-39,1.74293420807614e-37,-1.0386881284493e-34,-7.70091774816354e-33,3.71318446402797e-30,2.45215626912504e-28,-9.79568376925029e-26,-5.55350161155737e-24,1.85737529124373e-21,8.62631208685667e-20,-2.42192312711152e-17,-8.56466271529252e-16,2.0064080579289e-13,4.68096322714374e-12,-8.84576374452576e-10,-8.32546620926077e-09,1.0083537807266e-06,-2.53485800589553e-05,-0.00379771299954771,0.0979312539326011,-20.7520740300734
100,-14,1411,-3.66216240594751e-27,2.02825074947419e-23,-4.17233573047809e-20,3.24716126295114e-17,1.00116441989208e-14,-3.50855105028042e-11,2.26575504748804e-08,-4.62144506584415e-06,-0.000223190963099048,-0.28390092180391,-0.723669503859881,-497.963655090642,514.805133671137,-2.84283265612507e-24,2.85626817482711e-22,2.11925114986116e-18,-1.65193376025654e-16,-6.01144950981913e-13,3.17945252311667e-11,8.08692025107999e-08,-2.42194704266156e-06,-0.00655485090493083,0.0546079931229398,-14.9265326812887,-515.504958912732,567.624524941964,-3.27702978385492e-25,-3.05499285695104e-23,3.17498915342104e-19,2.81915520183454e-17,-1.16048961895898e-13,-9.3323235961679e-12,1.89178983762709e-08,1.32864279093845e-06,-0.00226418450764988,-0.0656333395781724,-12.8349088420274,-517.992259246606,523.057035399016,3.19411784143908e-25,-3.51608081746652e-23,-1.7830570224328e-19,1.45215344736171e-17,2.86557013544386e-14,-3.96831019732046e-13,-8.97723850448373e-10,-4.51415460316245e-07,-0.000837378968509916,0.0424088746328088,-25.1953095029834,-510.993703288751,521.098070188914,-1.32810281088195e-123,8.28117976289692e-122,2.93588272784906e-117,-1.73714613348256e-115,-2.49447819387185e-111,6.9936546449513e-110,7.09348454119768e-106,1.33818718311291e-103,4.09030386617716e-100,-2.12495382746878e-97,-4.83127803747292e-94,1.52312974036422e-91,2.13544324269449e-88,-6.77178872714224e-86,-4.31994646190213e-83,1.9948333206088e-80,-3.70208795621089e-78,-3.74070573397548e-75,5.66613121654185e-72,3.09176999279884e-70,-2.11291560252358e-66,5.3377352001563e-65,4.98800302117026e-61,-2.47622419572716e-59,-8.5210361509542e-56,4.93591545208495e-54,1.10187584903374e-50,-6.51459435137172e-49,-1.09737244587896e-45,6.19393451078292e-44,8.45083727599549e-41,-4.34186841230729e-39,-5.00900537780616e-36,2.24383198552472e-34,2.2579208886749e-31,-8.43098951381026e-30,-7.59026781720245e-27,2.24705316676392e-25,1.84858294677555e-22,-4.11354202599877e-21,-3.12776772683715e-18,5.0448770544601e-17,3.45009066547036e-14,-4.29419886115177e-13,-2.22479094973038e-10,2.91847594560914e-09,7.09431433673319e-07,-1.55037300478644e-05,-0.00646280591382582,0.0647754279992609,-15.8309922567755
101,-76,1360,3.24701965121457e-27,-2.08422055894859e-23,5.92694375905616e-20,-9.93371229720786e-17,1.07487279660348e-13,-7.43033476062676e-11,2.91944621537713e-08,-4.42397873179303e-06,-6.42858909209208e-05,-0.397166279925277,-4.53009129219086,-452.964411116843,443.262369184541,-9.48328459893861e-24,9.83678282931058e-23,5.48108522179563e-18,-1.1149592015442e-16,-1.20745224668561e-12,3.33673974725887e-11,1.2815878247024e-07,-3.89105854852444e-06,-0.00816296739320633,0.143355824154102,-19.5922490807444,-510.650026307397,503.000647925494,-4.88956156333341e-25,1.06314008402916e-22,4.3356222538209e-19,-7.06014129499211e-17,-1.45364122836277e-13,1.73666513266943e-11,2.31218652091514e-08,-1.56004286692717e-06,-0.00262047514859126,0.0212561959557058,-16.9121460784565,-520.281914052378,562.204924428275,-3.96575504129022e-25,1.22704330734097e-22,2.74696598821986e-19,-7.06533755145211e-17,-7.44940283651524e-14,1.45253324347739e-11,1.01610755317518e-08,-1.43564364643515e-06,-0.00127610337444312,0.0676844296324709,-21.4943853238358,-516.409599090893,560.208553392795,3.96798573732723e-120,1.88301352299221e-117,-7.82341581930454e-114,-3.86900740594517e-111,6.95591124540264e-108,3.62821073134821e-105,-3.65444516657112e-102,-2.04046357910967e-99,1.24409645969969e-96,7.5601802989644e-94,-2.81608872898343e-91,-1.88014662785306e-88,4.19119683481123e-86,2.90041778730965e-83,-4.38103857115184e-81,-1.4168228862669e-78,6.90851441528758e-76,-5.67699799997926e-73,-2.32826856697235e-70,1.84323189239711e-67,6.45319386356389e-65,-3.10088583778402e-62,-1.22860783727039e-59,3.50443893875623e-57,1.67493053088871e-54,-2.74891683562599e-52,-1.69342498257055e-49,1.38321861850727e-47,1.29154063810663e-44,-2.51415367438262e-43,-7.45476671673199e-40,-2.45701650824655e-38,3.22934537270422e-35,2.67837593076195e-33,-1.02812608080346e-30,-1.41781101582284e-28,2.313362569045e-26,4.85141334463931e-24,-3.41611891264825e-22,-1.12014104746212e-19,2.78328361136842e-18,1.71412837817019e-15,-4.85234045837439e-15,-1.64009216492053e-11,-8.46941534527039e-11,8.78805830992885e-08,4.95744798737092e-07,-0.000217416442358238,-0.00856637044248437,0.294086924342168,-17.6509614956204
